CompAA_nuCelprot,hydrophathy_index_,NEIG_index,KD_Hydrophobicity,Modified_KD_hydrophob_scale,solubility_index,Partition_coeff,basic_aa_count,charge_value,positive_charge,Polarity,nHbondDonors,instability_index,pI,8AcontactNumber,percentExposedResidues,FreeEnergySolutionWater,pK(_COOH),SideChainHydropathyCorrectSolvation,Avrg_FlexibilityIndices,peptide_disorder_percentage,Citrullination_aa_count,msd
5.377777778,-1.266666667,48.28,-11.4,-1.391111111,-1.266666667,-2.878888889,3,1.589068123,0.333333333,17.88888889,1.222222222,74.58888889,6.811111111,-0.262222222,43.88888889,0.165888889,2.144444444,0.678888889,0.425333333,66.66666667,0,1
6.722222222,-0.088888889,49.21555556,-0.8,-0.225555556,-0.088888889,-2.743333333,1,0.554947275,0.111111111,6.065555556,0.333333333,45.07777778,6.436666667,-0.136666667,29.55555556,-0.524222222,2.234444444,-0.775555556,0.494444444,44.44444444,0,1
6.722222222,1.022222222,51.51777778,9.2,0.921111111,1.022222222,-2.633333333,2,1.52062011,0.222222222,11.70666667,0.888888889,27.08888889,6.868888889,0.271111111,31.66666667,-0.006888889,2.164444444,-0.502222222,0.451333333,33.33333333,1,1
5.955555556,-0.677777778,49.71,-6.1,-0.812222222,-0.677777778,-2.862222222,3,1.557246551,0.333333333,17.78555556,1.222222222,22.08888889,6.98,-0.056666667,37.88888889,-0.081111111,2.058888889,0.391111111,0.437444444,44.44444444,1,1
7.166666667,-0.422222222,48.25333333,-3.8,-0.476666667,-0.422222222,-2.834444444,1,-0.444606241,0.111111111,11.59777778,0.555555556,-0.544444444,6.007777778,-0.262222222,32.88888889,-0.015333333,2.222222222,-0.395555556,0.479777778,55.55555556,0,1
7.444444444,-0.622222222,48.38777778,-5.6,-0.756666667,-0.622222222,-2.707777778,2,0.606392348,0.222222222,17.39666667,1,73.08888889,6.591111111,-0.173333333,40.33333333,-0.028,2.101111111,-0.072222222,0.448777778,44.44444444,1,1
6.311111111,-0.788888889,49.94555556,-7.1,-0.778888889,-0.788888889,-2.827777778,2,1.525407604,0.222222222,12.37111111,1.222222222,108.2,6.654444444,0.074444444,39,1.424222222,2.044444444,0.398888889,0.451888889,66.66666667,1,1
6.477777778,-0.377777778,49.95888889,-3.4,-0.538888889,-0.377777778,-2.792222222,3,1.287324043,0.333333333,17.41,1,26.18888889,7.044444444,0.016666667,33.77777778,-0.065111111,2.098888889,0.045555556,0.444111111,33.33333333,1,1
6.533333333,0.577777778,50.62222222,5.2,0.423333333,0.577777778,-2.742222222,1,0.580793338,0.111111111,6.054444444,0.333333333,68.22222222,6.294444444,0.184444444,25.77777778,0.202111111,2.192222222,-0.784444444,0.447111111,33.33333333,0,1
5.333333333,1.344444444,53.03777778,12.1,1.241111111,1.344444444,-2.645555556,1,0.471638493,0.111111111,5.872222222,0.222222222,-0.544444444,6.183333333,0.645555556,18.77777778,1.039666667,2.166666667,-0.991111111,0.436333333,11.11111111,0,1
6.166666667,-0.422222222,48.76777778,-3.8,-0.466666667,-0.422222222,-2.752222222,2,0.552888166,0.222222222,17.32777778,1,29.31111111,6.355555556,-0.152222222,42.55555556,0.503222222,2.21,0.007777778,0.455555556,55.55555556,0,1
5.222222222,-0.2,51.03555556,-1.8,-0.313333333,-0.2,-2.587777778,3,2.525407604,0.333333333,17.54,1.222222222,25.76666667,7.153333333,0.275555556,41.55555556,1.229111111,2.054444444,0.111111111,0.442111111,44.44444444,1,1
6.2,-1.477777778,47.29,-13.3,-1.683333333,-1.477777778,-2.785555556,2,-0.444184875,0.222222222,22.84666667,0.888888889,40.95555556,6.258888889,-0.385555556,43.11111111,-0.021,2.037777778,0.144444444,0.471,55.55555556,1,1
4.655555556,-0.244444444,50.52444444,-2.2,-0.263333333,-0.244444444,-2.508888889,2,-0.780869362,0.222222222,17.53333333,0.666666667,35.2,6.096666667,0.283333333,31,1.028666667,2.144444444,-0.59,0.377555556,44.44444444,0,1
7,0.011111111,49.64555556,0.1,-0.123333333,0.011111111,-2.72,2,0.556042918,0.222222222,17.22666667,0.888888889,30.28888889,6.62,0.051111111,37.88888889,-0.132111111,2.116666667,-0.081111111,0.447,44.44444444,1,1
6.544444444,0.888888889,50.76333333,8,0.525555556,0.888888889,-2.682222222,1,0.605296705,0.111111111,5.932222222,0.444444444,-7.811111111,6.367777778,0.203333333,24.66666667,0.061222222,2.302222222,-0.798888889,0.384666667,22.22222222,0,1
6.6,-0.011111111,51.12,-0.1,-0.333333333,-0.011111111,-2.603333333,3,1.569525705,0.333333333,17.65777778,1,121.9111111,7.157777778,0.347777778,31.11111111,0.181555556,1.913333333,-0.251111111,0.408888889,22.22222222,2,1
